Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	mitotic nuclear division (GO:0140014)	6/74	2.6628747704117165e-10	3.6454657906058e-08	0	0	97.58823529411764	2151.473627900056	TPX2;KIF18B;SPAG5;NUSAP1;BIRC5;KNSTRN
GO_Biological_Process_2018	sister chromatid segregation (GO:0000819)	5/32	3.1426429229360345e-10	3.6454657906058e-08	0	0	194.4346978557505	4254.384168135078	TOP2A;KIF18B;SPAG5;NUSAP1;KNSTRN
GO_Biological_Process_2018	mitotic sister chromatid segregation (GO:0000070)	6/82	5.002392402441305e-10	3.8685167912212763e-08	0	0	87.28070175438596	1869.1978051049225	KIF18B;SPAG5;PRC1;NUSAP1;KIF23;KNSTRN
GO_Biological_Process_2018	mitotic spindle organization (GO:0007052)	4/74	1.7343899918953546e-06	0.00010059461952993056	0	0	56.87428571428571	754.4291416303844	TPX2;PRC1;BIRC5;KIF23
GO_Biological_Process_2018	mitotic spindle assembly (GO:0090307)	3/46	2.2277900155129167e-05	0.0010336945671979	0	0	66.22259136212625	709.3707959300292	TPX2;BIRC5;KIF23
GO_Biological_Process_2018	mitotic cytokinesis (GO:0000281)	3/59	4.722408723590282e-05	0.0017903716435503	0	0	50.81632653061224	506.1614309621231	CKAP2;NUSAP1;KIF23
GO_Biological_Process_2018	regulation of attachment of spindle microtubules to kinetochore (GO:0051988)	2/10	6.173695322587491e-05	0.0017903716435503	0	0	226.9090909090909	2199.345382715804	SPAG5;KNSTRN
GO_Biological_Process_2018	establishment of spindle localization (GO:0051293)	2/10	6.173695322587491e-05	0.0017903716435503	0	0	226.9090909090909	2199.345382715804	SPAG5;NUSAP1
GO_Biological_Process_2018	mitotic spindle elongation (GO:0000022)	2/11	7.540109655030562e-05	0.0018289154820008	0	0	201.68686868686868	1914.5506673793325	PRC1;KIF23
GO_Biological_Process_2018	cytoskeleton-dependent cytokinesis (GO:0061640)	3/70	7.8832563879349e-05	0.0018289154820008	0	0	42.449893390191896	401.07442047961786	CKAP2;NUSAP1;KIF23
