Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Mouse liver 6 months vs 26 months GSE20426 aging:379,8/449,2.024726716778457e-06,0.00029358537393287627,0,0,11.422719625484602,149.75272037430136,CYP39A1;CDKN1A;SPAG5;PRC1;TACC3;MCM5;MKI67;BUB1,Aging_Perturbations_from_GEO_down
Mouse bone marrow adipocyte 14 months vs 18 months GSE25905 aging:296,4/329,0.0037568978172191,0.1341431379096202,0,0,6.904967032967033,38.55845251936263,RBM47;ARRDC3;SLC16A6;CLEC2D,Aging_Perturbations_from_GEO_down
Human CD4+lyphocytes 40 years vs 61 years GSE62373 aging:160,4/358,0.0050664628090973,0.1341431379096202,0,0,6.329943502824859,33.454462743970545,ABCC3;RBM47;SLC16A6;MPP7,Aging_Perturbations_from_GEO_down
Human CD4+Tlyphocytes 61 years vs 72 years GSE62373 aging:184,4/363,0.005319624904527,0.1341431379096202,0,0,6.240191006764823,32.67583968378821,CDKN1A;AUTS2;PRC1;SLC16A6,Aging_Perturbations_from_GEO_down
Human CD4+lyphocytes 40 years vs 72 years GSE62373 aging:163,4/373,0.0058512201762849,0.1341431379096202,0,0,6.0679829655439415,31.1961379423802,ABCC3;RBM47;SLC16A6;MPP7,Aging_Perturbations_from_GEO_down
Human CD4+lyphocytes 40 years vs 81 years GSE62373 aging:165,4/380,0.0062438149194842,0.1341431379096202,0,0,5.952887537993921,30.21783292891037,RBM47;AUTS2;SLC16A6;MPP7,Aging_Perturbations_from_GEO_down
Mouse hematopoietic stem cells 6 weeks vs 88 weeks GSE48893 aging:224,4/384,0.006475875623223,0.1341431379096202,0,0,5.8890225563909775,29.67873884086561,SPAG5;LY96;MCM5;BUB1,Aging_Perturbations_from_GEO_down
Mouse liver 6 months vs 26 months GSE20426 aging:380,3/241,0.0114743148361653,0.2079719564054971,0,0,6.905812324929972,30.852712615145364,CYP39A1;SLC16A6;MCM5,Aging_Perturbations_from_GEO_down
Mouse liver 6 months vs 26 months GSE20425 aging:373,3/273,0.0160062497995263,0.2198278630928995,0,0,6.0774691358024695,25.128973648294995,ABCC3;CDKN1A;DNAJB4,Aging_Perturbations_from_GEO_down
Mouse liver 6 months vs 26 months GSE20426 aging:376,3/277,0.0166340844519535,0.2198278630928995,0,0,5.987530413625304,24.52672926665176,CYP39A1;ARRDC3;MKI67,Aging_Perturbations_from_GEO_down
Human retinalperiphery 32 years vs 74 years GSE32614 aging:151,3/293,0.0192832875664471,0.2198278630928995,0,0,5.652586206896552,22.31932983440456,MT2A;ARRDC3;PSD3,Aging_Perturbations_from_GEO_down
Mouse ovary 90 days vs 180 days GSE14937 aging:349,3/303,0.0210515275527389,0.2198278630928995,0,0,5.461388888888889,21.085232756422435,PRC1;DNAJB4;MKI67,Aging_Perturbations_from_GEO_down
Mouse muscle 70 days vs 720 days GDS4904 aging:84,3/310,0.0223409475660497,0.2198278630928995,0,0,5.334961997828447,20.279972807548983,CYP39A1;AUTS2;CLEC2D,Aging_Perturbations_from_GEO_down
