Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Mouse retina 2 days vs 10 days GDS2936 aging:252,116/302,8.106307975163278e-17,2.3184040808966976e-14,0,0,2.8594102027066164,105.9448768525564,RPL5;MIDN;CCNF;RPL8;IGF1R;CDC20;SNRPD2;RPS19;TRIM28;TUBB3;RUVBL2;ARHGDIA;STMN1;RPL36;NEK2;TMSB10;TMPO;TLE3;SMARCC1;RPS5;CSNK1E;EEF1A1;CARHSP1;EWSR1;FSCN1;ERH;RPL28;LLGL1;SNRPB;RNASEH2C;NOTCH1;CBFB;CTBP1;CDCA8;CCNB2;PPP4C;RACGAP1;RAD21;ANKRD10;PLK4;BTF3;JUND;SIVA1;IDH2;RPS26;RPS28;ARMC10;UBE2S;FASN;GNB2;HNRNPD;CDK1;RNPS1;MXD3;EZH2;TOP2A;CLIC4;PTPRS;MCM7;RPLP1;HMGB3;CHD4;FOXM1;DNPH1;CKS1B;LMNB1;TMEM223;NUP62;PGLS;CKAP2;NUTF2;KIF22;NAV2;MRPL52;CCNA2;HNRNPH1;DDAH2;CDC42EP4;PPDPF;CKS2;BIRC5;MCM5;DNAJC9;TKT;PTMA;DCTPP1;MCM2;SF3B5;UHRF1;SSNA1;SRRT;CXXC1;ASCL1;TMEM165;NRAS;PSMB3;U2AF2;POLD1;POLD2;RPL13;POLR2F;HES1;RPS2;RPL18;RPL19;MBD3;RANBP1;PPP1R14B;MARCKSL1;CNBP;RPL23A;PNRC2;PSAT1;PRC1;EIF3G;CTNNB1,Aging_Perturbations_from_GEO_down
Mouse liver 6 months vs 26 months GSE20426 aging:379,146/449,1.28080180672065e-13,1.8315465836105288e-11,0,0,2.2120648438878776,65.66762221674816,MDC1;ARL6IP1;ZWILCH;LRR1;GMNN;MKI67;ACTG1;CDC20;LGALS1;CDH1;BASP1;STMN1;CHEK1;OIP5;KPNA2;SLC39A4;IER3;GAS2L3;USP2;ESCO2;SAP30;DEPDC1B;MELK;PPP1R3B;ETHE1;KIF20A;ATF3;CDCA5;MRPL18;NCAPG;CDCA8;HMMR;AAAS;SKA3;NCAPH;RAD51AP1;DPP4;CCNB2;CCNB1;ORC6;RACGAP1;RAD21;HMOX1;PLEK2;ASL;ECT2;PLK4;CDT1;SIVA1;DDIAS;UBE2C;ARHGEF39;PLK1;PBX3;NDC80;GADD45G;ANLN;P4HA1;UBE2T;SP3;ID1;CDK1;ID3;EZH2;ARHGAP11A;TOP2A;FEN1;MCM7;MCM8;NCAPG2;HMGB2;HSPB1;KIF11;BRCA1;FOXM1;CHTF18;THBD;NUF2;PBK;TK1;MYBL1;POLE;CEP55;SRGN;CBR1;HSP90AA1;RFC4;CKAP2L;CKAP2;CACYBP;FOS;KIF22;IL17RB;MMP12;CCNA2;TFDP1;ESPL1;MMP15;CHDH;ITPKA;CKS2;BIRC5;TRIM59;MCM5;DNAJC9;KIF2C;MCM2;UHRF1;TTK;AURKB;AURKA;TCEAL8;PSMC3IP;NEURL1B;HAUS8;MTHFD1L;CAMK2N2;POLD1;UBTD2;POC1A;BUB1;E2F8;CENPT;CDKN2D;GINS2;RRM1;CENPW;RRM2;SPAG5;RPA1;SHCBP1;RAD51;CENPH;CENPI;PRC1;RFWD3;CENPL;TACC3;CENPN;TRIP13;VIM;MMACHC;HSPA1B;SPC24;HSPA1A;SPC25,Aging_Perturbations_from_GEO_down
Mouse primary myoblast progenitor (MP) cells 8 months vs 23 months GDS1079 aging:91,100/286,8.746081971714424e-12,8.337931479701082e-10,0,0,2.453876946515771,62.48163388397167,OTUD4;EHMT2;ACTB;ACTG1;CDC20;SNRPD2;PSMD4;TRIM28;PTTG1;RUVBL2;STMN1;CFL1;TMSB10;HMGN1;PDIA3;SMARCC1;HPCAL1;EEF1A1;MTHFD2;EWSR1;NHP2;ERF;ERH;LLGL1;SNRPB;ISYNA1;CBFB;CCNB2;UBB;RAD21;ANKRD10;KCNN4;CDT1;NONO;PLK1;IDH2;FOSL1;ANLN;ZZZ3;UBE2S;HNRNPD;RNPS1;CALM1;EZH2;MCM7;HMGB2;HMGB3;MRPL34;CKS1B;TUBA1B;TSPO;TK1;CTSD;GIT1;HSP90AA1;ITGA3;CKAP2;PLAUR;NUTF2;KIF23;TUBG1;TMEM37;GAL;RASA3;HNRNPH1;DDAH2;CKS2;STRAP;MCM5;SLC25A5;PTMA;DCTPP1;MCM2;TSEN34;AHCY;TSSC4;UHRF1;GPS1;SRRT;UQCR10;TYMS;PPM1G;CYTH2;MAT2A;U2AF2;SPP1;POLR2F;RPS2;CCT4;RANBP1;PPP1R14B;MARCKSL1;RRM1;RRM2;MDH2;CNBP;RPA1;RPL23A;FKBP1A;BCKDK,Aging_Perturbations_from_GEO_down
Mouse retina 2 days vs 60 days GDS2936 aging:253,104/303,1.2085239071900948e-11,8.640945936409177e-10,0,0,2.3860926559897537,59.98406994046744,RPL5;MIDN;RPL8;ACTB;ACTG1;CDC20;SNRPD2;RPS19;TRIM28;BASP1;TUBB3;RUVBL2;ARHGDIA;STMN1;CFL1;RPL36;TMSB10;TMPO;SMARCC1;RPS5;PTOV1;CSNK1E;EEF1A1;EWSR1;FSCN1;ERH;RPL28;LLGL1;PFN2;NOTCH1;CBFB;CTBP1;CDCA8;MYL12A;CCNB2;PPP4C;RACGAP1;RAD21;ANKRD10;BTF3;JUND;NONO;IDH2;RPS26;RPS28;ARMC10;UBE2S;FASN;GNB2;HNRNPD;CDK1;LSM14B;MXD3;EZH2;TOP2A;CLIC4;PTPRS;MCM7;HMGB3;CHD4;CKS1B;LMNB1;TUBA1B;TMEM223;SEC61G;PGLS;SEC13;CKAP2;KIF22;NAV2;CCNA2;TUBB2A;DDAH2;PPDPF;CKS2;MCM5;DNAJC9;TOP1;PTMA;PAFAH1B3;MCM2;UHRF1;SSNA1;ASCL1;NRAS;PSMB3;U2AF2;POLD2;RPL13;POLR2F;HES1;RPS2;RPL18;RPL19;MBD3;RANBP1;PPP1R14B;MARCKSL1;RPL23A;PNRC2;PSAT1;PRC1;EIF3G;CTNNB1,Aging_Perturbations_from_GEO_down
Mouse spinal cord 9 months vs 12 months GDS967 aging:332,122/377,1.8910176565871453e-11,1.0816620995678472e-09,0,0,2.187930122347149,54.02288474918785,RRP1;SCX;NPEPPS;GJA1;LAPTM4A;TRIM28;TUBB3;STMN1;KIFAP3;B2M;TMSB10;SCN1B;SCN1A;GABARAPL1;ATP6V1G1;ACOT7;PCYT2;PTOV1;WDR77;EEF1A1;PRKAR1A;MAP7D1;CLIP4;UQCRC1;CMPK1;FSCN1;ATP6V0D1;NBL1;EIF1B;XPR1;PFN2;MACF1;IGSF8;RTN3;SDC4;ABHD8;ARL1;SLC41A1;LIN7C;MYL12A;RTN4;MYL12B;ANAPC11;HSP90B1;SNX3;ABR;ZMAT3;RAD21;CYC1;NDUFV1;BTF3;CD164;JUND;PDHA1;MYPOP;HSPA5;TNK2;CHCHD10;AIMP1;QDPR;CNIH1;CALM3;UBA1;ACO2;CALM1;RAB5A;CDK16;PRKCSH;CLTC;CHD4;BMI1;CALB2;MAP1LC3B;MAP1LC3A;UBL3;YWHAQ;SUMO1;SLC22A17;TNPO2;GIT1;RNF208;YWHAZ;EPN1;NCOR2;TUBB2A;RCN2;HNRNPH1;RPL37A;ALDH1A1;ATP6V1B2;STRAP;ALDOA;FYTTD1;NAPA;SNAP47;GSTP1;USO1;TIMM13;MFF;RXRB;MAT2A;GPC1;RPL13;APBB1;NCDN;CCT4;ATAD1;MBD3;POLR2M;MDH2;MID1IP1;AP3D1;DOHH;RAB11B;FKBP1A;GLRB;DNAJA3;CTNNB1;RBM42;EIF3C;HSPA1B;HSPA1A,Aging_Perturbations_from_GEO_down
Mouse hippocampus 14 months vs 20 months GSE48911 aging:386,146/480,3.680874378850337e-11,1.754550120585327e-09,0,0,2.002878429586352,48.11972648522464,SCOC;EHMT2;RRP1;ROGDI;EMC10;GHITM;CMIP;PPP1CB;TMEM147;ARHGDIA;CFL1;BSN;SCN1B;PDIA3;SMARCC2;SLC6A17;UBE2E1;AP1B1;SCAMP1;TMEM130;CTDNEP1;RRAGA;MAP7D1;CSNK2B;UQCRC1;FKBP8;FLYWCH1;PHPT1;KCTD17;PFN1;ATP6V0D1;RPL28;SQSTM1;CTXN1;EIF1B;TSPYL4;LRRC58;ATP6V1A;IGSF8;SPTBN4;TTYH3;RAB5C;BEX1;NDUFB10;CTBP1;FOXG1;CEND1;BHLHE22;SEZ6L2;ACTR3B;HSP90B1;ABR;KLC2;RAD21;CAMTA2;PIP5K1C;RAB6A;SPTBN2;CBX6;JUND;WFS1;KLHL26;DRAP1;ARHGAP33;EHD3;STK25;LHX2;GNB2;GRB2;ACO2;LRP11;TMEM151A;YWHAE;PTPRN;TECR;CHD5;AP2A1;CHD3;NRGN;MAP1LC3A;SUMO1;SLC22A17;TRIM3;CHMP1A;CEP170B;RPLP2;CIC;CTSD;HRAS;GIT1;PSD;SVOP;RNF208;RAD23B;ITFG1;SYN1;SREBF2;EPN1;MLF2;CLDN11;TUBB2B;MRAS;RCN2;KIFC2;VGF;SNPH;DNAJC5;MMP17;ITPKA;HNRNPH2;SHANK3;DBN1;PAFAH1B1;WBP2;GSTP1;PDXP;COX5A;PPM1G;SH3BGRL;TNKS2;CAMK2N2;SUSD4;APBB1;RABAC1;SLC25A22;UBQLN4;POLR2M;NPDC1;NDUFA6;MID1IP1;SGTA;PDAP1;NMNAT2;AP2B1;SCAF1;RAB11A;SKI;PFKL;FABP5;GLRB;PSMC4;ABHD17A;NEDD4;CARM1;MEGF8;SSBP4,Aging_Perturbations_from_GEO_down
Mouse hippocampus 3 months vs 16 months GDS2654 aging:65,115/354,5.4517005874549097e-11,2.2274090971601487e-09,0,0,2.198277497888974,51.95081149712344,APP;NCKAP1;ARL6IP1;CHPF;ROGDI;EMC10;GHITM;CMIP;NPEPPS;TRIM28;TUBB3;PSMD3;HCFC1R1;CFL1;ENPP2;AP1S1;KIFAP3;KPNA3;HMGN1;GABARAPL1;ACOT7;PTOV1;PRKAR1A;CDC37;UNC50;UQCRC1;EIF1B;VPS28;TSPYL4;PFN2;IGSF8;RTN3;DDX5;ARHGEF25;ATXN7L3B;MYL12A;MYL12B;HSP90B1;SNX3;PPP3R1;UBC;PGK1;NDUFV1;SPTBN2;NDFIP1;PDHA1;UBE2B;HSPA5;WFS1;CHCHD10;ZWINT;SMARCA4;HIGD2A;GNB2;CALM3;RNPS1;UBA1;TMEM9B;ARF1;PTPRS;MAP1LC3B;TUBA1B;TMEM223;SUMO1;SLC22A17;SMPD1;BOK;PSD;SMIM14;HSP90AA1;HSBP1;ZFR;RNF208;NUTF2;JOSD2;RANGAP1;YWHAZ;COMMD4;MLF2;NCOR2;TUBB2A;HNRNPH1;GORASP2;ATP6V1B2;PTMA;ATP6V0C;NAPA;SNAP47;WBP2;GPS1;SRRT;DCTN3;TIMM13;PSMB6;PSMB3;U2AF2;POLR2F;MAPK1;APBB1;NCDN;RABAC1;NPDC1;NDUFA9;MARCKSL1;NDUFA7;MDH2;FKBP1A;PFKL;FABP5;GLRB;NDUFAB1;OCIAD1;CTNNB1;LAMTOR1;EIF3C,Aging_Perturbations_from_GEO_down
Human mesenchymal stem cells (from bone marrow) 42 years vs 79 years GSE35955 aging:293,115/362,2.5385746910844756e-10,9.075404520627004e-09,0,0,2.1260224737668345,46.97286811139617,RNH1;ARL6IP1;IFIT1;RPL8;METRNL;ACTB;IFIT3;DCAF6;RPS15;MT2A;LGALS1;TRIM28;PTTG1;BASP1;PSMD2;FTH1;KIF5B;CFL1;ARL6IP5;RPL35;IER3;RPS5;HPCAL1;TALDO1;HLA-C;ACTN4;RBX1;LOX;RAB34;CSNK2B;UQCRC1;FSCN1;TXNIP;PFN1;VPS28;PFN2;SNRPB;CUTA;SMIM3;BEX1;RPN2;AK1;C12ORF57;NME1-NME2;UGCG;STIP1;PPP4C;UBC;AMZ2;VAT1;CD164;NONO;ISG15;DRAP1;EHD2;BST1;IL6;DAB2;GNB1;UBA1;NOL12;SERINC3;GPI;CLIC4;ARF1;GPAA1;PRKCSH;HEXB;SRP54;FHL2;AKR1B1;HSPB1;SEC61A1;TUBA1B;ADAMTS1;TSPO;APPL2;COX8A;IFNGR2;COPZ1;MLF2;CLDN11;RCN3;EEF1D;COL6A2;ATP6V1B2;SLC25A5;ATP6V0C;IRF9;SLC25A6;CD63;RPL12;GSTP1;DCTN3;CRIP2;UQCR10;PSMB3;EIF4H;POLR2E;RPL13;RPS2;RABAC1;RPL18;POLR2L;STAT1;ATP2B4;RPL23A;SULF1;TUBB4B;ARCN1;PPP1CA;FKBP1A;TMEM158;VIM;CUL4B,Aging_Perturbations_from_GEO_down
Mouse hippocampus 2 months vs 15 months GSE5078 aging:398,100/307,8.210521498532518e-10,2.3659420951095572e-08,0,0,2.2020695363109675,46.06825147367972,AHCYL1;CHPF;ROGDI;ACTG1;BASP1;TUBB3;PSMD3;HCFC1R1;CFL1;PTGDS;TMSB10;GTF2I;HMGN1;ACOT7;PTOV1;UQCRC1;FSCN1;ATP6V0D1;TSPYL4;LLGL1;CUTA;MACF1;IGSF8;RTN3;ARHGEF25;AGAP3;CIAO1;UBB;ANKRD10;NDUFV1;SPTBN2;PDHA1;WFS1;ASNS;ZWINT;AIMP1;CS;COPS6;GNB2;ATG2A;ID3;CALM3;RNPS1;UBA1;CALM1;TMEM9B;ARF1;PTPRN;TRADD;MRPS12;CLTC;CALB2;SEC61A1;TMEM223;HEY1;SMPD1;TNPO2;GIT1;BOK;HSP90AA1;AP3B1;TUBG1;NUDT16L1;RANGAP1;COMMD4;SIRT2;EPN1;MLF2;SMDT1;DNAJC5;NDUFS5;MMP17;RPL37A;TOP1;GTF3C1;GPS1;DCTN3;TIMM13;CXXC1;RFNG;CCNDBP1;MFF;HDAC6;PSMB6;FAM120A;RPS2;CCT4;MBD3;NPDC1;NDUFA9;POLR2M;MARCKSL1;NDUFA7;WDR13;SKI;PFKL;FABP5;DOLPP1;CTNNB1;STUB1,Aging_Perturbations_from_GEO_down
Mouse ovary 90 days vs 180 days GSE14937 aging:349,99/303,8.272524808075372e-10,2.3659420951095572e-08,0,0,2.2118950006639224,46.25716366685023,ARL6IP1;TMEM167B;NUCKS1;MKI67;COX6A1;ACTB;TXN2;ACTG1;IPO5;RPS15;GJA1;LAPTM4A;RPS19;RPL18A;RPS18;PSMD2;KHSRP;GRB10;RPL35;ACVR1;DDX17;PDIA3;MED1;FNDC3B;ATP11B;SND1;CDC40;COX7A2L;PRKAR1A;ZC3H11A;CDC37;TXNIP;ERH;PFN1;SQSTM1;SNRPB;MACF1;RNASEH2C;COPB2;DDX5;CBFB;TNKS;DDX1;ZMPSTE24;HSP90B1;PPP4C;PRKAR2B;PGK1;EDEM3;CD164;TMEM86A;SDF2L1;UBE2I;HSPA5;RDX;HNRNPL;PAN3;UBE2S;SERINC1;SERINC3;RPS21;ARF1;TCF21;TUBA1B;YWHAQ;TMED2;RPLP2;ITGAV;COX8A;GPX1;PRMT1;AHSA1;CACYBP;YWHAZ;ETV5;DDB1;PTP4A1;HNRNPH1;RPL37A;TOP1;STX12;RAB1B;TM9SF3;TNKS2;MAT2A;RPL13;RABAC1;RPL19;ATAD1;MLXIP;NDUFA7;CSNK1A1;USP9X;CNBP;PPP1CA;PNRC2;KLHL9;PRC1;TCEA1,Aging_Perturbations_from_GEO_down
