Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
"negative regulation of transcription, DNA-templated (GO:0045892)",74/948,1.294158708082599e-07,0.00029729393428189904,0,0,2.046241184490144,32.45386567042688,CREBZF;TCF25;NAB2;ATN1;LOXL3;PRDM1;HMGB1;BACH1;PHB2;ZFP36;MYC;UIMC1;EPC1;ZNF487;MED1;ZHX2;TGIF2;KDM2A;KDM2B;ZBTB38;ARID5B;SIRT7;TBL1XR1;ZP3;ZNF555;ZNF554;PFDN5;ATF3;MCPH1;SHC1;GLIS3;FOXK1;ZNF3;CXXC5;ZBTB5;AURKB;CIART;MBTD1;MNT;PRDX5;CUX1;CCDC85B;DEAF1;UBC;ZKSCAN3;HIVEP1;MTA2;RREB1;PLK3;TCF7L2;JUN;SMURF2;STAT1;GADD45A;CNBP;STAT3;IRF2BP2;WWP2;SUPT5H;TRERF1;DRAP1;GCLC;TFAP4;NFIC;DNAJA3;BHLHE40;ZNF219;ZNF217;PAF1;FOSB;HDGF;GTF2IRD1;BCOR;LIMS1,GO_Biological_Process_2021
regulation of macroautophagy (GO:0016241),19/112,1.6915728835385436e-07,0.00029729393428189904,0,0,4.7995656549605386,74.83692440417997,SH3GLB1;SMG1;PRKAG1;PRKAG2;VPS26A;SUPT5H;RRAGA;TBK1;LARP1;SESN3;RHEB;UBQLN1;ULK1;ATP6V0D1;ATP6V0E2;ATP6V1E2;GAPDH;SNX5;ATP6V0A1,GO_Biological_Process_2021
"positive regulation of transcription, DNA-templated (GO:0045893)",85/1183,5.201507551021355e-07,0.0006094433013946689,0,0,1.8752533243479488,27.133316300511527,CCNK;CRTC2;DDX3X;GABPB2;MAML1;HMGB1;TBK1;CREB3L4;MYC;SPIN1;EPC1;TEAD1;HTATIP2;ACTR2;BCAS3;MED1;RIPK2;ZBTB38;TCF12;TFE3;SIRT7;FOS;MED4;TNFRSF1A;DNM2;TBL1XR1;ZSCAN21;ZNF516;MAPRE3;UBE2V1;ZP3;SQSTM1;ATF3;ASF1A;RHOQ;KMT2D;NFAT5;SHC1;WBP2;ZBTB48;DOT1L;GLIS3;CREBL2;FOXK1;PIK3R1;SEC14L2;SCAF8;PPP3R1;SERTAD2;DEAF1;UBC;ZKSCAN3;HIVEP1;STAT6;APOE;RREB1;SNX5;MAP3K2;ESRRA;ZNF143;TCF7L2;JUN;STAT1;CNBP;SS18L1;ALYREF;STAT3;SUPT5H;TRERF1;MLLT11;DRAP1;FOSL1;CDK9;MLLT10;BCL9;KLF6;TFAP4;PSMC3;NFIA;NFIC;AGO2;MAFF;TCF4;ZNF335;NFE2L2,GO_Biological_Process_2021
ubiquitin-dependent protein catabolic process (GO:0006511),36/354,7.500066692603444e-07,0.0006590683606125276,0,0,2.68437166251335,37.85818677779746,VCP;ANAPC16;ZFAND2A;UBR4;KEAP1;TNFAIP3;UBE2L6;NEDD8;PSMA7;AURKB;ANAPC11;CDC20;FZR1;PSMB5;PSMB2;RNF215;KCTD21;TRIM2;ARIH2;UBQLN1;RFFL;SMURF2;WWP2;PPP2R5C;FBXO10;RAD23B;RC3H2;PSMC3;TBL1XR1;HECW2;PSME4;SPOPL;RBCK1;SQSTM1;UBE2K;NFE2L2,GO_Biological_Process_2021
negative regulation of transcription by RNA polymerase II (GO:0000122),55/684,2.325026964359942e-06,0.001634493955945,0,0,2.089103961450838,27.099394731798903,TCF25;ATN1;PRDM1;HMGB1;BACH1;ZFP36;MYC;EPC1;ZNF487;MED1;ZHX2;TGIF2;KDM2B;ARID5B;SIRT7;TBL1XR1;ZNF555;ZNF554;ATF3;MCPH1;GLIS3;ZNF3;CXXC5;ZBTB5;AURKB;MNT;CUX1;DEAF1;UBC;ZKSCAN3;HIVEP1;MTA2;RREB1;PLK3;TCF7L2;JUN;SMURF2;STAT1;GADD45A;CNBP;STAT3;IRF2BP2;WWP2;SUPT5H;DRAP1;NFIC;DNAJA3;ZNF219;BHLHE40;FOSB;ZNF217;PAF1;GTF2IRD1;HDGF;BCOR,GO_Biological_Process_2021
cellular protein modification process (GO:0006464),73/1025,4.750249921277392e-06,0.0027828547455483,0,0,1.8428651803729408,22.588575933952274,CSF1;MAML1;PRKAG1;PTEN;TESK2;PRKAG2;KEAP1;UBE2L6;LAMC1;TGM1;TBK1;NEK1;NEK3;DSP;PARP6;WSB1;DUSP1;APLP2;PPP2R5B;PPP2R5D;SIRT7;VRK2;PPP2R5C;FBXO10;RABGGTA;YWHAZ;DUSP6;LATS1;PTP4A2;GAN;PSME4;MXRA8;ULK1;SGK1;CDKL1;CUL9;MTMR2;UBA7;NEDD8;GLRX;FSTL1;PSMA7;AURKB;FUT4;FBXL20;PPP2CA;PSMB5;NUAK2;PSMB2;MAN2A2;PTK2B;APOE;DCAF10;MAP4K5;MAPK6;MAP4K3;CDK19;MAP3K1;ST8SIA1;RHBDD1;KLHL21;WWP2;CDC42BPA;CP;CDK9;MSRA;COPS6;PROC;TEC;PSMC3;WNK1;CDK4;AAK1,GO_Biological_Process_2021
negative regulation of cellular amide metabolic process (GO:0034249),14/86,1.151588113518628e-05,0.0045880627176747,0,0,4.545049639602883,51.68532053003115,RTN2;DDX3X;NANOS3;PCIF1;ORMDL1;SAMD4B;TOB1;RTN4;FXR1;LARP1;ENC1;APOE;IGF2BP2;GAPDH,GO_Biological_Process_2021
regulation of apoptotic process (GO:0042981),56/742,1.2395162873070383e-05,0.0045880627176747,0,0,1.946859776168532,21.996019401816906,DDX3X;HMGB1;PHB2;MYC;TRIM2;DNM1L;HTATIP2;MED1;PLEKHG2;RIPK2;ANXA4;SERPINB9;ANO6;FBXO10;RABGGTA;MMP9;YWHAZ;DUSP6;DNM2;TIAM2;LATS1;SFRP4;ARHGAP10;EEF1E1;SGK1;SQSTM1;BIRC3;VCP;SHC1;PIK3R1;FSTL1;RTN4;ABR;NCSTN;PRDX5;NUAK2;UBC;PTK2B;HS1BP3;BAK1;PLK3;JUN;STIL;ANGPT1;STAT1;GADD45A;RHBDD1;OSGIN1;MLLT11;GCLC;HNRNPK;KRT18;TFAP4;PROC;DNAJA3;TRIM35,GO_Biological_Process_2021
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),31/321,1.2402208132203428e-05,0.0045880627176747,0,0,2.522625,28.499699080161637,VCP;ANAPC16;ZFAND2A;PSMA7;AURKB;ANAPC11;CDC20;FBXL20;FZR1;PSMB5;PSMB2;TRIM2;UBC;UBXN8;UBQLN1;SEC61B;RFFL;ANKZF1;SMURF2;DNAJB12;WWP2;PPP2R5C;RAD23B;PSMC3;TBL1XR1;HECW2;PSME4;SPOPL;RBCK1;UBE2K;NFE2L2,GO_Biological_Process_2021
protein transport (GO:0015031),34/369,1.3052810007609645e-05,0.0045880627176747,0,0,2.398381992172138,26.97342015413311,MACF1;UNC119B;NECAB3;SAR1A;STXBP3;STX17;LRP1;CLTC;VPS26A;LTBP2;AP4M1;SCAMP4;STX6;APOE;ATP6V0E2;STX2;ATP6V1E2;GOLGA7;TBC1D22B;ATP6V0A1;RABGAP1L;SEC13;TANGO2;SYNRG;AP3D1;COPZ1;DNM2;EHD1;VMP1;ARL4A;CANX;RABL3;ATP6V0D1;ABCG1,GO_Biological_Process_2021
