Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
GTEx Stomach 20-29 vs 60-69 Down,5/250,5.2271408921277815e-05,0.0034499129888043,0,0,14.37463556851312,141.72040907970813,CDC20;ESPL1;CDC25C;BUB1;AURKB,GTEx_Aging_Signatures_2021
GTEx Stomach 20-29 vs 30-39 Down,4/250,0.0007333671475719743,0.0161340772465834,0,0,11.057471264367816,79.81132485400815,CDC20;ESPL1;BUB1;AURKB,GTEx_Aging_Signatures_2021
GTEx SmallIntestine 20-29 vs 30-39 Down,4/250,0.0007333671475719743,0.0161340772465834,0,0,11.057471264367816,79.81132485400815,CDC20;CDC25C;BUB1;AURKB,GTEx_Aging_Signatures_2021
GTEx Lung 20-29 vs 70-79 Down,3/250,0.0079841494162451,0.0658692326840226,0,0,7.983805668016195,38.56415277189379,CDC20;CDC25C;AURKB,GTEx_Aging_Signatures_2021
GTEx Thyroid 20-29 vs 50-59 Down,3/250,0.0079841494162451,0.0658692326840226,0,0,7.983805668016195,38.56415277189379,ABCC3;CDC20;APOL4,GTEx_Aging_Signatures_2021
GTEx SmallIntestine 20-29 vs 50-59 Down,3/250,0.0079841494162451,0.0658692326840226,0,0,7.983805668016195,38.56415277189379,CDC20;BUB1;AURKB,GTEx_Aging_Signatures_2021
GTEx SmallIntestine 20-29 vs 40-49 Down,3/250,0.0079841494162451,0.0658692326840226,0,0,7.983805668016195,38.56415277189379,CDC20;BUB1;AURKB,GTEx_Aging_Signatures_2021
GTEx Lung 20-29 vs 50-59 Down,3/250,0.0079841494162451,0.0658692326840226,0,0,7.983805668016195,38.56415277189379,CDC20;CDC25C;AURKB,GTEx_Aging_Signatures_2021
GTEx Thyroid 20-29 vs 70-79 Down,2/250,0.0637801353673388,0.2630930583902727,0,0,5.129812695109261,14.118852707530616,APOL4;AURKB,GTEx_Aging_Signatures_2021
GTEx Thyroid 20-29 vs 60-69 Up,2/250,0.0637801353673388,0.2630930583902727,0,0,5.129812695109261,14.118852707530616,SFRP4;FOS,GTEx_Aging_Signatures_2021
GTEx Thyroid 20-29 vs 60-69 Down,2/250,0.0637801353673388,0.2630930583902727,0,0,5.129812695109261,14.118852707530616,ABCC3;AURKB,GTEx_Aging_Signatures_2021
GTEx SalivaryGland 20-29 vs 60-69 Up,2/250,0.0637801353673388,0.2630930583902727,0,0,5.129812695109261,14.118852707530616,SFRP4;FOS,GTEx_Aging_Signatures_2021
