Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
GTEx Stomach 20-29 vs 60-69 Down,66/250,0.00080735869461814,0.2171794888522796,0,0,1.6218017284340775,11.550054311150882,TOP2A;FEN1;HJURP;BUB1B;MKI67;LMNB1;CDC20;NUF2;PBK;NEK2;OIP5;MYBL2;TK1;KPNA2;GTSE1;DLGAP5;CEP55;CKAP2L;FIBCD1;KIF24;ESCO2;KNL1;CDC25C;MMP12;HPDL;ASPM;DEPDC1B;MELK;ESPL1;KIFC1;DEPDC1;BIRC5;KIF2C;KIF20A;MTFR2;DTL;ASF1B;UHRF1;TROAP;NCAPG;HMMR;SKA3;PKMYT1;IQGAP3;CENPA;NCAPH;SKA1;AURKB;CCNB1;CDC45;E2F2;CLSPN;FAM83D;BUB1;E2F8;RRM2;UBE2C;SHCBP1;FOSL1;TPX2;ANLN;CENPF;KIF18B;KIF4A;ID1;APOBEC3B,GTEx_Aging_Signatures_2021
GTEx Stomach 20-29 vs 30-39 Down,58/250,0.0268414183978263,0.9999948168881644,0,0,1.3621135518363552,4.927866832840238,TOP2A;HJURP;MKI67;LMNB1;CDC20;PTTG1;NUF2;NUSAP1;NEK2;TK1;GTSE1;CEP55;DLGAP5;CKAP2L;CKAP2;KNL1;ESCO2;MMP12;ASPM;MELK;ESPL1;KIFC1;ZFP42;DEPDC1;KIF2C;KIF20A;ASF1B;C5ORF46;CHRNA5;SKA3;IQGAP3;CENPA;SKA1;NCAPH;AURKB;CCNB2;CCNB1;CDC45;RAD54L;E2F2;CLSPN;FAM83D;BUB1;GSTM1;RRM2;UBE2C;PLA2G2A;GDF5;SHCBP1;ANLN;TPX2;CENPF;IL6;KIF18B;CENPI;KIF4A;APOBEC3B;ZNF695,GTEx_Aging_Signatures_2021
GTEx Lung 20-29 vs 50-59 Down,50/250,0.2536331389145186,0.9999948168881644,0,0,1.1241998330086278,1.5422519676757376,TOP2A;EHF;HHIP;BUB1B;MCM10;CDC20;NUF2;PBK;NEK2;MYBL2;CEP55;DLGAP5;SCN1A;ESCO2;CDC25C;HPDL;SAPCD2;ZFP42;DEPDC1;BIRC5;KIF20A;CDH15;ASF1B;CDCA5;TTK;HMMR;SKA3;SEZ6L2;PKMYT1;SKA1;AURKB;CCNB1;E2F8;CDT1;GINS2;RRM2;UBE2C;WNT7B;ANLN;TPX2;EPGN;MAP3K15;XKR9;PSAT1;FASN;KIF4A;FOSB;CENPM;TRIP13;APOBEC3B,GTEx_Aging_Signatures_2021
GTEx SmallIntestine 20-29 vs 30-39 Down,40/250,0.8403262995271544,0.9999948168881644,0,0,0.8536272682817229,0.1485012769070595,IL24;HJURP;NCAPG;BUB1B;MCM10;TTK;HMMR;MKI67;SKA3;PKMYT1;SKA1;AURKB;CDC20;SPIB;CDC45;PTTG1;NUF2;PBK;E2F2;NEK2;MYBL2;BUB1;DLGAP5;E2F8;RRM2;UBE2C;G0S2;CDC25C;MMP10;H1-5;MMP12;TPX2;IL6;MELK;KIF18B;BIRC5;DNASE1L3;DTL;IDO1;ASF1B,GTEx_Aging_Signatures_2021
GTEx Blood 20-29 vs 40-49 Up,40/250,0.8403262995271544,0.9999948168881644,0,0,0.8536272682817229,0.1485012769070595,TOP2A;RTKN;QPRT;KIF14;ZC3HAV1L;ALDH1L2;ZDBF2;SGCE;SIX5;SNX25;MYO6;PBK;SPP1;KIF21A;DMD;TP63;PHLDA3;EGR1;EGR2;DUSP2;FBXO17;GPX8;HNF1B;ESCO2;IGF1;SLC39A14;ETV4;ASPM;DEPDC1B;CDCP1;CENPI;RNF207;HMSD;PAX9;APOC1;DEPDC1;SDC1;ATF3;FRK;TP73,GTEx_Aging_Signatures_2021
GTEx SmallIntestine 20-29 vs 50-59 Down,37/250,0.9349708079539748,0.9999948168881644,0,0,0.7776918490049187,0.0522919778565448,TOP2A;UHRF1;IL24;HJURP;NCAPG;BUB1B;TTK;MKI67;SKA3;IKZF3;SKA1;NCAPH;AURKB;SPIB;CDC20;CDC45;PBK;E2F2;NEK2;MYBL2;CLSPN;GTSE1;BUB1;DLGAP5;E2F8;RRM2;UBE2C;H1-5;MMP12;TPX2;ASPM;NCR3;KIF18B;DEPDC1;BIRC5;DNASE1L3;ASF1B,GTEx_Aging_Signatures_2021
GTEx AdiposeTissue 20-29 vs 30-39 Down,32/250,0.9918677885012354,0.9999948168881644,0,0,0.656058577384597,0.0053570189560291,PLOD2;AK4;PRL;FGFRL1;FAM83G;NSDHL;MT2A;TUBB6;HAS2;CILP2;GLUL;SLC25A22;PGM1;SCN1A;CFAP74;GSTM1;GPR37;TNFRSF12A;G0S2;IGF1;TUBB4B;SLC39A14;VEGFA;FOSL1;HPDL;TUBB2B;TUBB2A;PAX8;KRT16;PSAT1;FASN;ZFP42,GTEx_Aging_Signatures_2021
GTEx Liver 20-29 vs 70-79 Down,31/250,0.9951307815624608,0.9999948168881644,0,0,0.632440318168257,0.0030870118394839,SLC7A11;SLC7A1;ICAM1;TUBB6;RASD1;MTHFD1L;TUBB3;DNER;HMOX1;OTOF;CILP2;PLEKHN1;NPTX2;RELT;TEAD4;CHST6;ERVMER34-1;TNFRSF12A;SMOX;LIMK2;PLA2G2A;NETO2;TACR1;MMP10;SLC5A6;FOSL1;HPDL;IL6;LOX;MTHFD2;CDKN3,GTEx_Aging_Signatures_2021
GTEx SmallIntestine 20-29 vs 40-49 Down,30/250,0.9971844757340692,0.9999948168881644,0,0,0.6090506504290064,0.0017172154523407,TOP2A;UHRF1;IL24;NCAPG;BUB1B;MCM10;TTK;PRL;HMMR;FBXO43;AURKB;CDC20;CDC45;E2F2;MYBL2;CLSPN;BUB1;DLGAP5;E2F8;SIGLEC15;RRM2;H1-5;MMP12;ASPM;NCR3;IL6;BIRC5;DNASE1L3;DTL;ASF1B,GTEx_Aging_Signatures_2021
GTEx Stomach 20-29 vs 50-59 Down,29/250,0.9984292713992808,0.9999948168881644,0,0,0.5858864596453711,0.0009209921227772308,TOP2A;MKI67;CENPA;TUBB6;FAM43B;FLNC;FAM83D;EPHB1;CEP55;DLGAP5;PSD;RRM2;UBE2C;CKAP2L;PLA2G2A;C20ORF27;GDF5;FOSL1;MMP12;ANLN;ASPM;IL6;GAL;ESPL1;KIFC1;DEPDC1;BIRC5;KIF20A;ANKRD63,GTEx_Aging_Signatures_2021
GTEx AdiposeTissue 20-29 vs 50-59 Down,29/250,0.9984292713992808,0.9999948168881644,0,0,0.5858864596453711,0.0009209921227772308,MT1X;PLCXD1;AGPAT2;FGFRL1;GLIS1;LIPE;MT2A;TUBB6;UBASH3B;LDHD;HMOX1;HAS2;GLUL;GSTM1;GPR37;TNFRSF12A;FIBCD1;G0S2;IGF1;TUBB4B;SLC39A14;VEGFA;FOSL1;IL6;TUBB2A;PAX8;PSAT1;FASN;FOSB,GTEx_Aging_Signatures_2021
GTEx Lung 20-29 vs 70-79 Down,29/250,0.9984292713992808,0.9999948168881644,0,0,0.5858864596453711,0.0009209921227772308,TOP2A;EHF;HHIP;LRRK2;BUB1B;TTK;SKA3;FBXO43;AURKB;CDC20;PBK;DLGAP5;CEP55;SCN1A;RRM2;ESCO2;CDC25C;MMP12;EPGN;MAP3K15;SAPCD2;PSAT1;FASN;ZFP42;DEPDC1;CENPM;FOSB;KIF20A;FOXA2,GTEx_Aging_Signatures_2021
GTEx AdiposeTissue 20-29 vs 60-69 Down,29/250,0.9984292713992808,0.9999948168881644,0,0,0.5858864596453711,0.0009209921227772308,CEBPA;PFKFB3;MT1X;AGPAT2;FGFRL1;LIPE;MT2A;TUBB6;RASD1;PRKAR2B;LDHD;HMOX1;HAS2;GLUL;PGM1;GSTM1;GPR37;FIBCD1;G0S2;IGF1;SLC39A14;FOSL1;TUBB2A;PAX8;PSAT1;FASN;TYRO3;FOSB;SLC25A10,GTEx_Aging_Signatures_2021
