Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Pathways in cancer,252/531,6.434105879120081e-37,2.0331774578019456e-34,0,0,3.1900943112873192,265.8434327635213,HHIP;KEAP1;ELK1;EDNRA;FRAT1;RASSF1;EDNRB;RPS6KA5;TFG;MYC;RASSF5;AKT1;PRKACA;PRKACB;SKP1;DAPK1;DAPK3;PRKCA;RUNX1;AR;ADCY9;AGTR1;TP53;CTBP2;CTBP1;EPAS1;PDGFA;PIK3R1;HIF1A;GNG10;TERT;PLCG1;FADD;RALGDS;FZD1;STAT5A;CREBBP;GSTM2;JUN;GSTM1;JAG1;JUP;FZD7;FN1;IGF2;IGF1;GNG12;GNG11;PTK2;GRB2;CALM1;RET;CDKN1A;BRCA2;GLI3;GLI2;IKBKB;SHH;HEY1;SUFU;RAC2;RAC3;ELOB;IKBKG;RAC1;JAK2;HRAS;JAK1;APC2;NCOA1;EDN1;IL15;IFNGR2;IL13;FOS;F2;KIF7;RHOA;PLCB3;KIT;CKS2;RARB;PPARG;ARHGEF1;PLCB1;PPARD;PTGER1;GSTP1;CXCR4;XIAP;PTGS2;EGFR;GNAI1;RELA;GNAI2;RXRB;RXRA;STAT6;BID;RUNX1T1;EGLN1;ARNT2;CDKN2A;STAT2;WNT7B;STAT3;WNT7A;MLH1;AGT;VEGFA;HEYL;KITLG;CCDC6;CTNNB1;FGF2;IGF1R;FGF5;CCND3;FGF9;CDH1;EP300;IL6R;IFNAR2;PDGFRB;PDGFRA;MAP2K1;MAP2K2;IL4R;F2R;WNT5A;RBX1;MSH6;SMO;COL4A2;COL4A1;COL4A6;COL4A5;IL6ST;RAF1;IFNAR1;CSF1R;NOTCH3;NOTCH1;MAX;CUL2;TCF7;CUL1;CSF2RB;PLD1;STK4;RASGRP1;FOXO1;KNG1;HSP90B1;DVL1;DVL2;DVL3;WNT1;FGF22;SMAD2;ZBTB17;SMAD4;TGFB2;SMAD3;TGFB1;TGFB3;WNT3A;PTCH1;ESR1;NFKB1;NFKBIA;BMP2;GNAQ;GNB2;CDK2;GNB1;MDM2;GNAS;CYCS;GNB5;FGFR3;FGFR2;BCL2L1;NFE2L2;FGF10;FGFR1;ITGB1;GSK3B;PTEN;SLC2A1;LAMC1;CKS1B;CASP8;BDKRB2;BDKRB1;ITGAV;NKX3-1;ARHGEF11;HSP90AA1;ARHGEF12;APAF1;CHUK;ITGA3;DCC;AXIN1;ARNT;TRAF2;MMP9;TGFBR1;TGFBR2;CCNA2;TRAF3;TRAF6;BIRC5;SOS1;CRK;MET;SOS2;CEBPA;LAMA5;HDAC2;CAMK2D;RALA;ROCK1;HDAC1;ROCK2;LAMA4;CAMK2A;IL2RG;CBL;LRP6;CDC42;GNG2;ERBB2;E2F1;MAPK1;E2F3;HES1;VHL;NTRK1;TCF7L1;TXNRD2;BAD;LAMB2;LAMB1;MTOR;EPOR;MAPK10;IL2RB;RPS6KB2;BAX;KRAS,KEGG_2021_Human
Proteoglycans in cancer,112/205,2.9447929233414673e-23,2.5222475189485848e-21,0,0,4.169716008803824,216.3224424260007,ELK1;FGF2;ACTB;ACTG1;IGF1R;PPP1CB;PPP1CC;PLAU;MYC;KDR;AKT1;PRKACA;PRKACB;MAP2K1;MAP2K2;WNT5A;ANK2;PRKCA;ANK3;HSPG2;SMO;EZR;RAF1;TP53;DDX5;SDC4;SDC2;PXN;TWIST2;PIK3R1;HIF1A;SLC9A1;VTN;PLCG1;WNT1;FZD1;SMAD2;TGFB2;TGFB1;WNT3A;FZD7;CAV1;PTCH1;RDX;FN1;IGF2;IGF1;ESR1;PTK2;COL1A1;MDM2;SDC1;GRB2;FGFR1;ITGB1;CDKN1A;ITGB3;HSPB2;SHH;CTSL;TIMP3;ITGAV;RAC1;HRAS;ARHGEF12;PPP1R12A;PLAUR;RRAS2;NUDT16L1;MMP9;RHOA;DCN;VAV2;CTTN;ARHGEF1;ITGA5;PPP1R12B;SOS1;MET;PPP1R12C;SOS2;CD44;HBEGF;TLR2;CD63;CAMK2D;ROCK1;ROCK2;SRC;CAMK2A;CBL;EGFR;CDC42;PAK1;ERBB3;ERBB4;GPC1;ERBB2;FLNA;MAPK1;FLNC;WNT7B;STAT3;WNT7A;PTPN11;MAPK14;MTOR;PPP1CA;VEGFA;RPS6KB2;CTNNB1;KRAS,KEGG_2021_Human
MAPK signaling pathway,144/294,3.145588343533618e-23,2.5222475189485848e-21,0,0,3.3355858310626703,172.82823033756125,ATF2;IL1RAP;ELK1;FGF2;IGF1R;ELK4;RPS6KA4;FGF5;RPS6KA5;FGF9;MYC;STMN1;KDR;AKT1;PRKACA;PRKACB;MAP3K7;MAP3K5;PDGFRB;PDGFRA;MEF2C;MAP2K1;MAP2K2;CACNA2D1;PRKCA;MAPK8IP2;EREG;MAPK8IP1;CDC25B;CACNB1;CACNB4;DDIT3;RAF1;TP53;EPHA2;CSF1R;MAX;PDGFA;EFNA5;STK4;RASGRP1;CACNA1H;STK3;RAP1B;PPP3R1;RAP1A;IRAK1;PDGFD;CACNA1S;FGF22;MAP2K5;MAP2K6;NGFR;HSPA8;JUN;TGFB2;JUND;TGFB1;BDNF;TGFB3;INSR;HSPA6;IGF2;NFATC1;IGF1;GNG12;NFKB1;NR4A1;NF1;GRB2;TAB2;TAB1;FGFR3;FGFR2;MYD88;FGF10;FGFR1;TRADD;HSPB1;ARRB1;ARRB2;ECSIT;IKBKB;PPP3CA;PPP3CB;PPP3CC;RAC2;RAC3;IKBKG;RAC1;HRAS;MAP4K1;MAP4K2;DUSP2;DUSP3;CHUK;DUSP1;PLA2G4C;RRAS2;PLA2G4A;TRAF2;FOS;IRAK4;TGFBR1;DUSP7;TGFBR2;TNFRSF1A;PPM1A;TRAF6;KIT;MAPT;SOS1;CRK;MET;SOS2;SRF;EGFR;RELA;INS;CDC42;PAK1;ERBB3;ERBB4;NTF3;ERBB2;FLNA;MAPK1;FLNC;CACNG2;CACNG4;NTRK1;MAP3K3;NTRK2;MAP3K1;MAPK14;VEGFA;MAPK10;KITLG;TAOK1;TAOK2;KRAS;TEK;LAMTOR3;HSPA1A,KEGG_2021_Human
Shigellosis,127/246,3.19271837841593e-23,2.5222475189485848e-21,0,0,3.7013774973911753,191.7261148011147,UBE2D2;UBE2D1;ACTB;ACTG1;PYCARD;RPS6KA5;TBK1;CAPNS1;CAPN2;AKT1;CAPN1;BTRC;MAP3K7;SKP1;CAST;GABARAPL2;GABARAPL1;ACTN4;ATG14;ATG12;RBX1;RRAGA;RRAGC;ELMO1;ELMO2;PRKCQ;VDAC1;TLN2;PFN1;TP53;SQSTM1;VCL;PXN;PIK3R4;CUL1;BCL10;PIK3R1;FOXO3;GABARAP;MYL12A;FOXO1;MYL12B;C3;SHARPIN;UBB;UBC;MYL10;NLRP3;RIPK1;PLCG1;ATG5;JUN;CBX3;PTK2;NFKB1;NFKBIA;ARPC2;ATG16L1;MDM2;UBE2N;CYCS;ATM;TAB2;TAB1;TECPR1;MYD88;BCL2L1;NFKBIB;ITGB1;GSK3B;ARF1;ARPC1B;TRADD;ILK;SEPTIN12;WASL;HK2;IKBKB;RPTOR;CASP1;IKBKG;RAC1;H3-3A;ACTR3;ACTR2;CHUK;RIPK2;TRAF2;WIPI2;RHOA;TNFRSF1A;PLCB3;CTTN;IRF3;TRAF6;AKT1S1;PIK3C3;ARHGEF2;ITGA5;PLCB1;CRK;DOCK1;CD44;ARF6;ROCK1;ROCK2;SRC;NOD1;EGFR;RELA;CDC42;CYTH3;CCL5;MAPK1;RPS27A;WASF1;CYTH1;BNIP3;MAPK14;MTOR;MAPK10;STING1;RPS6KB2;BAX;PLCD3;PLCD1;BCAR1,KEGG_2021_Human
Autophagy,82/137,8.854298163217341e-21,5.59591643915336e-19,0,0,5.140064324390343,237.3341635448432,MTMR14;PTEN;IRS2;HMGB1;ZFYVE1;IGF1R;RPTOR;STK11;DEPTOR;TBK1;CTSL;RB1CC1;LAMP2;MLST8;AKT1;PRKACA;MAP3K7;PRKACB;CTSD;HRAS;SNAP29;RAB8A;SH3GLB1;ATG3;GABARAPL2;GABARAPL1;MAP2K1;MAP2K2;DAPK1;DAPK3;TSC2;RRAS2;TSC1;WIPI2;ATG14;ATG12;RAB33B;ERN1;VAMP8;RRAGA;RRAGC;TRAF6;AKT1S1;ATG4C;PRKCQ;ULK1;PIK3C3;SMCR8;RAF1;RAB7B;SQSTM1;ATG4D;RAB7A;RAB1A;PRKAA2;STX17;PIK3R4;PIK3R1;AMBRA1;HIF1A;GABARAP;INS;PPP2CA;MAPK1;NRBF2;ATG7;ATG5;IGBP1;UVRAG;BAD;BNIP3;EIF2AK4;CFLAR;EIF2S1;MTOR;MAPK10;ATG16L1;RHEB;RPS6KB2;ATG2A;KRAS;BCL2L1,KEGG_2021_Human
Human T-cell leukemia virus 1 infection,112/219,3.1854231749317723e-20,1.677656205464067e-18,0,0,3.620842217034796,162.55089225489905,ATF2;CRTC2;TRRAP;CRTC1;BUB1B;ELK1;ICAM1;CDC20;ELK4;CCND3;ZFP36;KAT5;PTTG1;MYC;CDC27;CHEK1;AKT1;EP300;PRKACA;B2M;PRKACB;MAP2K1;MAP2K2;HLA-G;HLA-E;ADCY9;TBPL1;ANAPC4;VDAC1;TLN2;TP53;ANAPC2;PIK3R1;ANAPC10;ANAPC11;CCNB2;PPP3R1;TERT;STAT5A;SMAD2;EGR1;CREBBP;JUN;SMAD4;TGFB2;SMAD3;TGFB1;TGFB3;NFATC1;NFKB1;FOSL1;NFKBIA;CDC16;CDK2;HLA-DRA;ATM;CALR;TCF3;HLA-DRB1;BCL2L1;NRP1;CDKN1A;PTEN;SLC2A1;ITGAL;IKBKB;POLB;PPP3CA;PPP3CB;PPP3CC;XPO1;TSPO;IKBKG;HRAS;JAK1;TBP;CHUK;IL15;FOS;TGFBR1;TGFBR2;TNFRSF1A;CCNA2;KAT2A;CREB1;ESPL1;LCK;CANX;SLC25A4;SLC25A6;VAC14;ATF6B;SRF;XIAP;IL2RG;RELA;HLA-DMA;E2F1;MAPK1;E2F3;MAP3K3;RANBP1;MAP3K1;RANBP3;CDKN2A;MAPK10;CD4;IL2RB;HLA-DPB1;BAX;KRAS;RAN,KEGG_2021_Human
Salmonella infection,121/249,2.2232719274892213e-19,1.0036484701237054e-17,0,0,3.2721862999774114,140.54084926763986,CYFIP1;NCKAP1;ACTB;ACTG1;PYCARD;TUBB6;TUBB3;MYC;TNFSF10;AKT1;MAP3K7;SKP1;VPS18;MAP2K1;MAP2K2;DYNC1LI1;ELMO1;ELMO2;PFN1;RAF1;ARL8B;RAB5C;TCF7;TXN;KLC1;MYL12A;MYL12B;HSP90B1;DYNC2LI1;KLC2;IRAK1;PODXL;MYO6;MYL10;NLRP3;RIPK1;FADD;S100A10;VPS16;MAP2K6;JUN;TNFRSF10B;NFKB1;NFKBIA;PTPRC;ARPC2;CYCS;TAB2;DYNLRB1;TAB1;RAB5A;MYD88;ARF1;ARPC1B;TRADD;BRK1;WASL;PIK3CG;IKBKB;ACTR1A;TUBA1B;CASP8;CASP1;IKBKG;RAC1;HRAS;ACTR3;ACTR2;HSP90AA1;ANXA2;CHUK;EXOC7;RIPK2;RHOG;TRAF2;FOS;IRAK4;DYNLL1;DYNLL2;RHOA;RHOB;DNM2;TNFRSF1A;TUBB2B;TUBB2A;TRAF6;PIK3C3;EXOC5;RAB7B;EXOC2;ARF6;RAB7A;TLR2;DCTN6;RALA;AHNAK;DCTN2;DCTN1;ROCK2;DCTN3;NOD1;RELA;CDC42;CYTH3;PAK1;FLNA;MAPK1;FLNC;RILP;CYTH1;WASF3;DYNC1H1;TCF7L1;AHNAK2;TUBB4B;MAPK14;MAPK10;SNX18;ABI1;CTNNB1;BAX,KEGG_2021_Human
Human papillomavirus infection,147/331,1.2287938722351585e-18,4.8537357953288755e-17,0,0,2.771598352153166,114.3020978987692,PATJ;COMP;CCND3;TBK1;PPP2R1B;AKT1;EP300;ATP6V1E1;PRKACA;PRKACB;IFNAR2;PDGFRB;PRKCI;MAP2K1;MAP2K2;WNT5A;TSC2;SCRIB;TSC1;TICAM1;HLA-G;HLA-E;COL4A2;COL4A1;COL4A6;TBPL1;COL4A5;ATP6V0D1;RAF1;TP53;LLGL1;IFNAR1;NOTCH3;NOTCH1;PXN;TCF7;UBR4;PIK3R1;PRKCZ;FOXO1;SLC9A3R1;VTN;TERT;DVL1;DVL2;DVL3;FADD;WNT1;ATP6V1D;FZD1;CREBBP;JAG1;WNT3A;FZD7;FN1;ISG15;PTK2;NFKB1;COL1A1;DLG3;RHEB;CDK2;TADA3;GNAS;MDM2;ATM;GRB2;ITGB1;GSK3B;CDKN1A;ITGB3;TRADD;PTEN;CHD4;LAMC1;IKBKB;LFNG;CASP8;HEY1;ITGB8;ITGAV;IKBKG;HRAS;JAK1;APC2;TBP;CHUK;ITGA4;ITGA3;AXIN1;PPP2R5B;PPP2R5A;TUBG1;TNFRSF1A;CCNA2;RBL2;CREB1;PKM;IRF3;TRAF3;COL6A2;IRF1;COL6A1;ATP6V1B2;ITGA7;ITGA5;SOS1;ATP6V0C;SOS2;IRF9;ITGA9;LAMA5;HDAC2;HDAC1;LAMA4;PARD6G;RFNG;PTGS2;EGFR;RELA;THBS4;PPP2CA;CDC42;RELN;E2F1;MAPK1;HES1;ATP6V0E2;HES4;TCF7L1;CSNK1A1;BAD;LAMB2;STAT2;WNT7B;MX1;WNT7A;LAMB1;PPP2R3B;MTOR;VEGFA;HEYL;PPP2R2C;RPS6KB2;CTNNB1;BAX;KRAS,KEGG_2021_Human
Pathways of neurodegeneration,190/475,1.2201414368482317e-17,4.2840521560449023e-16,0,0,2.3201774514303195,90.35926397147922,APP;NDUFA13;NDUFA11;UBE2L6;COX6A1;ZFYVE1;PSMD9;TUBB6;FRAT1;TBK1;PSMD4;TUBB3;PSMD2;PSMD3;CAPN2;CAPN1;MAP3K5;GABARAPL2;GABARAPL1;MAP2K1;MAP2K2;CSNK2A2;WNT5A;PRKCA;SDHC;CSNK1E;SDHD;ATG14;SDHA;SDHB;ERN1;COX7A2L;DDIT3;CSNK2B;PPIF;ULK1;VDAC1;RAF1;ATF6;SQSTM1;STX1A;GRIA1;GRIA2;VCP;NDUFB10;NDUFB11;PIK3R4;KLC1;UBE2J2;AGER;GABARAP;GRIN2A;PPP3R1;KLC2;UBB;DVL1;UBC;DVL2;DVL3;NRBF2;PLCG1;FADD;CACNA1S;CYC1;NDUFV2;WNT1;GRIA4;MAP2K6;FZD1;PRNP;XBP1;HSPA5;BDNF;WNT3A;FZD7;GRIN2B;EIF2S1;NFKB1;GRIN2D;CDK5;DLG4;GNAQ;ATG2A;MAP3K10;CYCS;UBA1;CALM1;RAB5A;MCU;BCL2L1;RYR1;GSK3B;LRRK2;PPP3CA;TUBA1B;ACTR1A;PPP3CB;GRM5;PPP3CC;CASP8;RB1CC1;NEFL;UQCRFS1;NEFM;RAC1;IFT57;NEFH;SPG11;HRAS;RAB8A;APC2;COX8A;GPR37;GPX1;APAF1;TRPC3;SIGMAR1;GPX8;AXIN1;TRAF2;WIPI2;TNFRSF1A;PLCB3;TUBB2B;TUBB2A;NDUFS8;ALS2;NDUFS7;NDUFS6;NDUFS5;CAT;NDUFS4;NDUFS3;NDUFS2;PIK3C3;SMCR8;MAPT;PLCB1;SLC25A4;SLC25A6;PRKN;DCTN6;NDUFB9;RAB1A;CAMK2D;DNAH1;NDUFB7;TOMM40;DCTN2;DCTN1;CAMK2A;DCTN3;NDUFA4L2;HTT;AMBRA1;UQCR10;PTGS2;COX5B;HSD17B10;COX5A;PSMA7;RELA;LRP6;ATP5F1B;PSMB2;MAPK1;BID;RPS27A;NDUFA9;NDUFA7;NDUFA6;NDUFA5;CSNK1A1;BAD;WNT7B;NDUFA3;ADRM1;WNT7A;TUBB4B;MAPK14;ATP5F1D;MTOR;UQCRHL;FIG4;MAPK10;PSMC4;NDUFAB1;CTNNB1;BAX;KRAS,KEGG_2021_Human
PI3K-Akt signaling pathway,151/354,3.6589304081721227e-17,1.156222008982391e-15,0,0,2.5796798309640137,97.63256397745567,ATF2;CRTC2;FGF2;IGF1R;COMP;FGF5;CCND3;STK11;PPP2R1B;FGF9;MYC;KDR;AKT1;IL6R;IFNAR2;PDGFRB;PDGFRA;MAP2K1;IL4R;MAP2K2;F2R;MAGI2;TSC2;PRKCA;TSC1;PRLR;EREG;COL4A2;COL4A1;COL4A6;COL4A5;RAF1;TP53;EPHA2;IFNAR1;CSF1R;PDGFA;PIK3R1;EFNA5;FOXO3;HSP90B1;VTN;GNG10;PDGFD;FGF22;MCL1;NGFR;BDNF;INSR;FN1;IGF2;IGF1;GNG12;GNG11;PTK2;NFKB1;COL1A1;NR4A1;G6PC3;RHEB;GNB2;CDK2;GNB1;MDM2;GRB2;GNB5;FGFR3;FGFR2;BCL2L1;FGF10;FGFR1;ITGB1;YWHAE;GSK3B;CDKN1A;YWHAB;ITGB3;PTEN;BRCA1;PRL;LAMC1;PIK3CG;IKBKB;RPTOR;YWHAQ;MLST8;ITGB8;ITGAV;IKBKG;RAC1;JAK2;HRAS;YWHAG;JAK1;HSP90AA1;SYK;CHUK;ITGA4;ITGA3;PPP2R5B;PPP2R5A;OSMR;YWHAZ;RBL2;CREB1;COL6A2;KIT;COL6A1;ITGA7;ITGA5;SOS1;MET;SOS2;TLR2;ITGA9;LAMA5;PRKAA2;ATF6B;PKN3;LAMA4;IL2RG;EGFR;RELA;THBS4;INS;PPP2CA;RELN;RXRA;GNG2;ERBB3;ERBB4;NTF3;ERBB2;MAPK1;EIF4E;NTRK1;NTRK2;BAD;LAMB2;NOS3;LAMB1;PPP2R3B;EPOR;MTOR;VEGFA;KITLG;PPP2R2C;IL2RB;RPS6KB2;KRAS;TEK,KEGG_2021_Human
Human cytomegalovirus infection,108/225,5.821752333556467e-17,1.6724306703671305e-15,0,0,3.188149688149688,119.18051243472766,ATF2;ELK1;TBK1;MYC;AKT1;PRKACA;B2M;PRKACB;IL6R;PDIA3;PDGFRA;MAP2K1;MAP2K2;TAP1;TSC2;PRKCA;TSC1;HLA-G;HLA-E;ADCY9;RAF1;TP53;PXN;PIK3R1;GNG10;PPP3R1;RIPK1;FADD;MAP2K6;NFATC1;GNG12;GNG11;PTK2;NFKB1;NFKBIA;RHEB;GNAQ;GNB2;GNB1;GNAS;MDM2;CYCS;GRB2;CALR;GNB5;CALM1;GSK3B;CDKN1A;ITGB3;TRADD;IKBKB;PPP3CA;PPP3CB;PPP3CC;CASP8;RAC2;RAC3;ITGAV;IKBKG;RAC1;CCR5;HRAS;JAK1;ARHGEF11;ARHGEF12;CHUK;TRAF2;RHOA;TNFRSF1A;PLCB3;CREB1;IRF3;ARHGEF1;PLCB1;SOS1;CRK;SOS2;ATF6B;ROCK1;PTGER1;ROCK2;SRC;CXCR4;PTGS2;EGFR;GNAI1;RELA;GNAI2;GNG2;CCL5;E2F1;MAPK1;PTK2B;E2F3;BID;CDKN2A;IL10RB;IL10RA;STAT3;MAPK14;MTOR;VEGFA;STING1;RPS6KB2;CTNNB1;BAX;KRAS;BCAR1,KEGG_2021_Human
Human immunodeficiency virus 1 infection,103/212,1.0663166908035232e-16,2.8079672857826106e-15,0,0,3.2617393009360067,119.95747919427431,DCAF1;TBK1;CHEK1;CFL1;AP1S2;AKT1;AP1S1;BTRC;B2M;MAP3K7;SKP1;PDIA3;MAP2K1;MAP2K2;AP1B1;TAP1;PRKCA;CDC25C;HLA-G;HLA-E;RBX1;RAF1;CUL5;PXN;CUL1;PIK3R1;CCNB2;GNG10;PPP3R1;CCNB1;IRAK1;RIPK1;FADD;PLCG1;AP1M1;MAP2K6;APOBEC3C;JUN;NFATC1;GNG12;GNG11;PTK2;NFKB1;NFKBIA;GNAQ;GNB2;GNB1;CYCS;ATM;TAB2;CALR;GNB5;TAB1;CALM1;MYD88;APOBEC3B;BCL2L1;TRADD;IKBKB;PPP3CA;PPP3CB;PPP3CC;CASP8;RAC2;RAC3;ELOB;IKBKG;RAC1;CCR5;HRAS;CHUK;TRAF2;FOS;IRAK4;TNFRSF1A;DDB1;IRF3;TRAF6;CRK;TLR2;CXCR4;SAMHD1;GNAI1;RELA;GNAI2;PAK1;GNG2;MAPK1;PTK2B;BID;PAK4;BAD;LIMK2;LIMK1;MAPK14;MTOR;MAPK10;CD4;WEE1;STING1;RPS6KB2;BAX;KRAS,KEGG_2021_Human
Regulation of actin cytoskeleton,104/218,3.727095374505144e-16,9.059708756489424e-15,0,0,3.1486411799074645,111.85778359555844,CYFIP1;NCKAP1;FGF2;ACTB;ACTG1;FGF5;PPP1CB;PPP1CC;FGF9;CFL1;PIP4K2B;PDGFRB;PDGFRA;MAP2K1;MAP2K2;F2R;ACTN4;EZR;PFN1;RAF1;VCL;PXN;PDGFA;PIK3R1;IQGAP3;MYL12A;KNG1;MYL12B;SLC9A1;PDGFD;MYL10;MYH11;PIP5K1C;MYH10;FGF22;RDX;FN1;GNG12;PTK2;SSH1;ARPC2;FGFR3;FGFR2;FGF10;FGFR1;ITGB1;ITGAM;ARPC1B;ITGB3;BRK1;WASL;ITGAL;RAC2;BDKRB2;RAC3;BDKRB1;ITGB8;ITGAV;RAC1;HRAS;GIT1;APC2;ACTR3;ACTR2;ARHGEF12;PPP1R12A;ITGA4;ITGA3;RRAS2;F2;RHOA;VAV2;ENAH;ITGA7;MYH9;ARHGEF1;ITGA5;ARHGEF7;PPP1R12B;SOS1;CRK;DOCK1;PPP1R12C;SOS2;ARHGEF6;ITGA9;ROCK1;ROCK2;SRC;CXCR4;EGFR;FGD1;INS;CDC42;PAK1;MAPK1;WASF1;PAK4;LIMK2;LIMK1;PPP1CA;ABI2;KRAS;BCAR1,KEGG_2021_Human
Focal adhesion,98/201,4.3817014530356157e-16,9.89012613685182e-15,0,0,3.28177593542053,116.05647601018256,ELK1;ACTB;ACTG1;IGF1R;COMP;PPP1CB;PPP1CC;CCND3;KDR;CAPN2;AKT1;PDGFRB;PDGFRA;MAP2K1;PRKCA;ACTN4;COL4A2;COL4A1;COL4A6;COL4A5;TLN2;RAF1;VCL;SHC1;PXN;PDGFA;PIK3R1;MYL12A;MYL12B;RAP1B;VTN;RAP1A;PDGFD;MYL10;PIP5K1C;JUN;CAV1;FN1;IGF1;PARVB;PTK2;COL1A1;GRB2;ITGB1;GSK3B;ITGB3;PTEN;ILK;LAMC1;RAC2;RAC3;ITGB8;ITGAV;RAC1;HRAS;PPP1R12A;ITGA4;ITGA3;RHOA;VAV2;COL6A2;COL6A1;ITGA7;ITGA5;PPP1R12B;SOS1;CRK;DOCK1;MET;PPP1R12C;SOS2;ITGA9;LAMA5;ROCK1;ROCK2;SRC;LAMA4;XIAP;EGFR;THBS4;CDC42;PAK1;RELN;ERBB2;FLNA;MAPK1;FYN;FLNC;PAK4;BAD;LAMB2;LAMB1;PPP1CA;VEGFA;MAPK10;ZYX;CTNNB1;BCAR1,KEGG_2021_Human
Lipid and atherosclerosis,102/215,1.1433873490292364e-15,2.4087360152882575e-14,0,0,3.114220199921178,107.14406452296728,NCF2;ICAM1;PYCARD;TBK1;TNFSF10;AKT1;MAP3K7;MAP3K5;PRKCA;CYBA;TICAM1;ERN1;DDIT3;ATF6;TP53;PIK3R1;AGER;HSP90B1;RAP1B;PPP3R1;RAP1A;IRAK1;NLRP3;PLCG1;MAP2K6;ABCA1;LYN;HSPA8;JUN;XBP1;HSPA5;HSPA4;HSPA6;TNFRSF10B;NFATC1;EIF2S1;SELE;PTK2;NFKB1;NFKBIA;CYCS;TAB2;TAB1;CALM1;MYD88;BCL2L1;NFE2L2;GSK3B;VLDLR;IKBKB;PPP3CA;PPP3CB;PPP3CC;CASP8;CASP1;OLR1;CD36;IKBKG;RAC1;JAK2;HRAS;HSP90AA1;APAF1;CHUK;APOA1;TRAF2;FOS;IRAK4;MMP9;RHOA;VAV2;TNFRSF1A;PLCB3;IRF3;TRAF3;TRAF6;ARHGEF1;PPARG;PLCB1;TLR2;CAMK2D;ROCK2;SRC;CAMK2A;RELA;HSPD1;RXRB;CDC42;RXRA;CCL5;MAPK1;BID;BAD;NOS3;STAT3;MIB2;MAPK14;MIB1;MAPK10;BAX;KRAS;HSPA1A,KEGG_2021_Human
Yersinia infection,74/137,1.719781639049152e-15,3.396568737122075e-14,0,0,4.040225358508774,137.35384084575264,ITGB1;GSK3B;ARPC1B;WASL;ACTB;ACTG1;PYCARD;IKBKB;TBK1;CASP1;RAC2;AKT1;RAC3;IKBKG;RAC1;MAP3K7;ACTR3;ACTR2;MAP2K1;MAP2K2;ARHGEF12;CHUK;ITGA4;RHOG;TRAF2;FOS;IRAK4;TICAM1;RHOA;VAV2;IRF3;CD8A;LCK;TRAF6;ELMO1;ELMO2;ARHGEF1;LCP2;ITGA5;ARHGEF7;CRK;DOCK1;ARF6;ROCK1;ROCK2;SRC;PXN;PIK3R1;RELA;CDC42;IRAK1;NLRP3;MAPK1;PTK2B;PIP5K1C;PLCG1;MAP2K6;JUN;FYB1;LIMK1;FN1;NFATC1;MAPK14;NFKB1;PTK2;NFKBIA;MAPK10;CD4;ARPC2;GNAQ;TAB2;TAB1;MYD88;BCAR1,KEGG_2021_Human
