Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	peptide cross-linking (GO:0018149)	23/47	1.158916047425355e-05	0.0385919043792643	0	0	3.754909210418208	42.67619660782882	SPRR4;SPRR3;KRT2;KRT1;F13A1;LCE1E;LCE1F;LCE2D;LCE1C;LCE3E;LCE1D;LCE1A;LCE3C;LCE2B;LCE1B;LCE3D;LCE2C;LCE3A;LCE3B;LCE2A;LCE4A;SPRR1A;IVL
GO_Biological_Process_2018	keratinocyte differentiation (GO:0030216)	22/59	0.0020438952969846	0.9999963618946146	0	0	2.3272414849546443	14.412368747925983	SPRR4;SPRR3;ST14;AKR1C3;LCE1E;LCE1F;LCE1C;LCE2D;LCE3E;LCE1D;LCE1A;LCE2B;LCE3C;LCE1B;LCE2C;LCE3D;LCE3A;LCE2A;LCE3B;LCE4A;SPRR1A;IVL
GO_Biological_Process_2018	epidermal cell differentiation (GO:0009913)	24/67	0.0024565357301093	0.9999963618946146	0	0	2.184808036328609	13.128518397202992	SPRR4;SPRR3;ST14;SPINK5;AKR1C3;LCE1E;LCE1F;LCE1C;LCE2D;LCE3E;LCE1D;LCE1A;LCE2B;LCE3C;LCE1B;LCE2C;LCE3D;LCE3A;LCE2A;LCE3B;LCE4A;PITX2;SPRR1A;IVL
GO_Biological_Process_2018	natural killer cell activation involved in immune response (GO:0002323)	10/20	0.0030135832697728	0.9999963618946146	0	0	3.909090909090909	22.69080858969222	IFNA4;IFNA7;IFNA14;IFNA16;IFNB1;IFNA17;KLRF2;IFNW1;IFNA21;IFNA10
GO_Biological_Process_2018	regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033139)	9/18	0.0048698658371052	0.9999963618946146	0	0	3.908376320314419	20.810887975079563	IFNA4;IFNA7;IFNA14;IFNA16;IFNB1;IFNA17;IFNW1;IFNA21;IFNA10
GO_Biological_Process_2018	positive regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033141)	9/18	0.0048698658371052	0.9999963618946146	0	0	3.908376320314419	20.810887975079563	IFNA4;IFNA7;IFNA14;IFNA16;IFNB1;IFNA17;IFNW1;IFNA21;IFNA10
GO_Biological_Process_2018	lymphocyte activation involved in immune response (GO:0002285)	10/22	0.0070765807537539	0.9999963618946146	0	0	3.257166257166257	16.126114289372378	IFNA4;IFNA7;IFNA14;IFNA16;IFNB1;IFNA17;LCP1;IFNW1;IFNA21;IFNA10
GO_Biological_Process_2018	T cell activation involved in immune response (GO:0002286)	11/26	0.0091714664454386	0.9999963618946146	0	0	2.866470058163349	13.448497431775898	IFNA4;IFNA7;IFNA14;IFNA16;IFNB1;IFNA17;LILRB1;LCP1;IFNW1;IFNA21;IFNA10
GO_Biological_Process_2018	progesterone metabolic process (GO:0042448)	6/11	0.0128378397334765	0.9999963618946146	0	0	4.687776141384389	20.416944444332557	DHRS9;FSHB;AKR1C1;AKR1C3;AKR1C2;AKR1C4
GO_Biological_Process_2018	response to dsRNA (GO:0043331)	10/24	0.0144340518284218	0.9999963618946146	0	0	2.7915057915057915	11.83086257169001	IFNA4;IFNA7;IFNA14;IFNA16;IFNB1;IFNA17;IFNW1;TLR3;IFNA10;IFNA21
GO_Biological_Process_2018	regulation of saliva secretion (GO:0046877)	4/6	0.0182036312929712	0.9999963618946146	0	0	7.810598626104023	31.290306147363275	TIFAB;DCANP1;OPRK1;NEUROG1
