Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2016	Steroid hormone biosynthesis Homo sapiens hsa00140	15/58	0.1896937250796397	0.9999963531403244	0	0	1.362481764352527	2.264914041044234	HSD3B2;AKR1C1;AKR1D1;HSD17B3;AKR1C3;AKR1C2;AKR1C4;CYP7B1;CYP3A4;CYP3A5;CYP3A7;SULT1E1;UGT2A3;UGT2A1;UGT2B7
KEGG_2016	Linoleic acid metabolism Homo sapiens hsa00591	8/29	0.2260842778617256	0.9999963531403244	0	0	1.4874169707175602	2.211562112641825	PLA2G2F;CYP2C9;PLA2G2D;PLA2G2C;PLA2G2A;PLA2G5;CYP3A4;CYP2C19
KEGG_2016	Graft-versus-host disease Homo sapiens hsa05332	10/41	0.3188377834555806	0.9999963531403244	0	0	1.2593326464294206	1.4395089211703938	CD86;HLA-DRB5;GZMB;HLA-DRA;KIR3DL1;KIR2DL1;KLRC1;KIR3DL2;KIR2DL3;IL2
KEGG_2016	Autoimmune thyroid disease Homo sapiens hsa05320	12/53	0.3949958406356199	0.9999963531403244	0	0	1.142456291819555	1.0612048508109124	CD86;IFNA4;IFNA7;HLA-DRB5;IFNA14;IFNA16;IFNA17;GZMB;HLA-DRA;IL2;IFNA10;IFNA21
KEGG_2016	Taurine and hypotaurine metabolism Homo sapiens hsa00430	3/11	0.3958862803423839	0.9999963531403244	0	0	1.4635761589403973	1.3561910585469437	GAD1;GADL1;GAD2
KEGG_2016	Cyanoamino acid metabolism Homo sapiens hsa00460	2/7	0.4342794228363023	0.9999963531403244	0	0	1.5610593428151054	1.3020282711978086	SHMT1;GBA3
KEGG_2016	Primary bile acid biosynthesis Homo sapiens hsa00120	4/17	0.4678519627831443	0.9999963531403244	0	0	1.2008001811730955	0.912131842633184	AKR1D1;HSD17B4;AKR1C4;CYP7B1
KEGG_2016	Regulation of autophagy Homo sapiens hsa04140	8/39	0.5565279042174667	0.9999963531403244	0	0	1.0069712909563344	0.590123408354807	IFNA4;IFNA7;IFNA14;IFNA16;IFNA17;ULK2;IFNA21;IFNA10
KEGG_2016	Natural killer cell mediated cytotoxicity Homo sapiens hsa04650	27/135	0.5803205645507352	0.9999963531403244	0	0	0.9753269183320996	0.5307481655184918	IFNA4;IFNA7;KIR2DL1;KIR2DL3;KIR2DL4;PIK3CG;KLRK1;KLRC4-KLRK1;PLCG2;KLRC1;IFNA21;VAV3;IFNA14;KLRC2;IFNA16;KLRC3;IFNB1;IFNA17;KIR2DS4;GZMB;KIR3DL1;KIR3DL2;VAV1;NCR1;LCP2;CD247;IFNA10
KEGG_2016	alpha-Linolenic acid metabolism Homo sapiens hsa00592	5/25	0.5988319377783983	0.9999963531403244	0	0	0.9754601226993864	0.500190873358037	PLA2G2F;PLA2G2D;PLA2G2C;PLA2G2A;PLA2G5
KEGG_2016	beta-Alanine metabolism Homo sapiens hsa00410	6/31	0.6281763151150086	0.9999963531403244	0	0	0.9363770250368189	0.435353885970222	ALDH3A2;ALDH3A1;GAD1;DPYD;GADL1;GAD2
KEGG_2016	Nitrogen metabolism Homo sapiens hsa00910	3/17	0.7046256213713298	0.9999963531403244	0	0	0.8360138757489751	0.292678969755816	CA1;CA3;CA2
KEGG_2016	Bile secretion Homo sapiens hsa04976	13/71	0.7141173797753501	0.9999963531403244	0	0	0.8741765089916316	0.2943421651660979	ABCC4;ABCB1;AQP9;AQP4;CYP3A4;ABCB11;ADCY5;SLCO1B1;CA2;SLCO1A2;KCNN2;SLC22A8;CFTR
KEGG_2016	Staphylococcus aureus infection Homo sapiens hsa05150	10/56	0.7318953804783903	0.9999963531403244	0	0	0.8478795000534131	0.2646381978050425	C1QB;SELP;C1QA;HLA-DRB5;CFH;DSG1;HLA-DRA;PLG;FCAR;C1QC
KEGG_2016	Non-homologous end-joining Homo sapiens hsa03450	2/13	0.77697986693457	0.9999963531403244	0	0	0.7093049177404254	0.1789865989228208	DNTT;NHEJ1
KEGG_2016	Mucin type O-Glycan biosynthesis Homo sapiens hsa00512	5/31	0.7874992750842679	0.9999963531403244	0	0	0.750070788107598	0.179186532379285	GALNT11;GALNT3;GALNT18;GALNTL6;GALNT9
