Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
late nucleophagy (GO:0044805),2/7,0.0002802244447482213,0.0666249161079091,0,0,110.67222222222222,905.2898894159164,ATG9A;ULK1,GO_Biological_Process_2021
mitochondrion disassembly (GO:0061726),3/36,0.0003179926173270372,0.0666249161079091,0,0,25.471190781049938,205.1317864433363,ATG9A;ULK1;SQSTM1,GO_Biological_Process_2021
positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001269),2/8,0.0003727377657999936,0.0666249161079091,0,0,92.22222222222224,728.0608226495283,PRR7;CASP8,GO_Biological_Process_2021
autophagy of mitochondrion (GO:0000422),3/40,0.0004353786484560862,0.0666249161079091,0,0,22.712980586220024,175.7824445775828,ATG9A;ULK1;SQSTM1,GO_Biological_Process_2021
regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041),3/42,0.000503209336162456,0.0666249161079091,0,0,21.546045503791984,163.63153520862127,SP100;CASP8;CFLAR,GO_Biological_Process_2021
cellular copper ion homeostasis (GO:0006878),2/14,0.0011941043543106,0.1303275095980985,0,0,46.09722222222222,310.2508484154788,ABCB6;ATOX1,GO_Biological_Process_2021
autophagy of nucleus (GO:0044804),2/16,0.0015671206512911,0.1303275095980985,0,0,39.507936507936506,255.1626133360455,ATG9A;ULK1,GO_Biological_Process_2021
regulation of extrinsic apoptotic signaling pathway (GO:2001236),3/64,0.0017229523421594,0.1303275095980985,0,0,13.760101593165553,87.56537841716808,SP100;CASP8;CFLAR,GO_Biological_Process_2021
copper ion homeostasis (GO:0055070),2/17,0.0017718241486146,0.1303275095980985,0,0,36.87222222222222,233.61302231185692,ABCB6;ATOX1,GO_Biological_Process_2021
regulation of programmed necrotic cell death (GO:0062098),2/20,0.0024576407666974,0.1626958187553728,0,0,30.72222222222222,184.5961136225927,CASP8;CFLAR,GO_Biological_Process_2021
regulation of necroptotic process (GO:0060544),2/23,0.0032491575363259,0.1955402080952503,0,0,26.32936507936508,150.85039888996042,CASP8;CFLAR,GO_Biological_Process_2021
ERAD pathway (GO:0036503),3/87,0.0041251501262488,0.2116543205181192,0,0,9.980885311871228,54.80157653900647,DNAJB2;RHBDD1;ANKZF1,GO_Biological_Process_2021
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042),2/34,0.0070180079073391,0.2116543205181192,0,0,17.26909722222222,85.64221723890843,CASP8;CFLAR,GO_Biological_Process_2021
regulation of protein ubiquitination (GO:0031396),3/109,0.0077109944953831,0.2116543205181192,0,0,7.900611214456551,38.43732770918759,DNAJB2;PRR7;SQSTM1,GO_Biological_Process_2021
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280),3/119,0.0097971110197129,0.2116543205181192,0,0,7.215881495871782,33.37827018381247,PRR7;CASP8;CFLAR,GO_Biological_Process_2021
endosome organization (GO:0007032),2/41,0.0100885355513959,0.2116543205181192,0,0,14.164529914529917,65.1052163056749,CLCN3;SQSTM1,GO_Biological_Process_2021
response to unfolded protein (GO:0006986),2/49,0.0141960608091487,0.2116543205181192,0,0,11.748817966903074,49.98876213432602,DNAJB2;RHBDD1,GO_Biological_Process_2021
negative regulation of protein ubiquitination (GO:0031397),2/51,0.0153182832101411,0.2116543205181192,0,0,11.26814058956916,47.08627128826748,PRR7;SQSTM1,GO_Biological_Process_2021
negative regulation of protein modification by small protein conjugation or removal (GO:1903321),2/55,0.0176729285808792,0.2116543205181192,0,0,10.415618448637316,42.034532902180224,PRR7;SQSTM1,GO_Biological_Process_2021
autophagosome organization (GO:1905037),2/56,0.0182841189821684,0.2116543205181192,0,0,10.22222222222222,40.90649575777209,ATG9A;ULK1,GO_Biological_Process_2021
positive regulation of AMPA receptor activity (GO:2000969),1/5,0.018365284102935,0.2116543205181192,0,0,68.22602739726027,272.71943060410257,ADRB2,GO_Biological_Process_2021
positive regulation of bicellular tight junction assembly (GO:1903348),1/5,0.018365284102935,0.2116543205181192,0,0,68.22602739726027,272.71943060410257,NPHP4,GO_Biological_Process_2021
positive regulation of cAMP-dependent protein kinase activity (GO:2000481),1/5,0.018365284102935,0.2116543205181192,0,0,68.22602739726027,272.71943060410257,ADRB2,GO_Biological_Process_2021
negative regulation of cell volume (GO:0045794),1/5,0.018365284102935,0.2116543205181192,0,0,68.22602739726027,272.71943060410257,CLCN3,GO_Biological_Process_2021
negative regulation of collateral sprouting (GO:0048671),1/5,0.018365284102935,0.2116543205181192,0,0,68.22602739726027,272.71943060410257,ULK1,GO_Biological_Process_2021
response to mitochondrial depolarisation (GO:0098780),1/5,0.018365284102935,0.2116543205181192,0,0,68.22602739726027,272.71943060410257,SQSTM1,GO_Biological_Process_2021
regulation of chaperone-mediated protein folding (GO:1903644),1/5,0.018365284102935,0.2116543205181192,0,0,68.22602739726027,272.71943060410257,DNAJB2,GO_Biological_Process_2021
immature B cell differentiation (GO:0002327),1/5,0.018365284102935,0.2116543205181192,0,0,68.22602739726027,272.71943060410257,IRF2BP2,GO_Biological_Process_2021
