Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	141/1183	1.4350252639368629e-12	6.034281234854507e-09	0	0	2.046563608642664	55.80945941785731	CRTC2;MAML2;ICE2;SERPINE1;NRL;ETS2;CREB3L4;RPS6KA1;DPF2;DPF3;PIM2;ATXN7L3;JUNB;IER2;MAP3K5;MAP2K1;ZBTB38;LMO2;SOX12;RUNX2;HCFC1;RUNX1;LBHD1;MAML3;ATF3;KMT2E;AKNA;AIRE;CREBL2;PIK3R2;HELZ2;RAI1;SBNO2;UBC;RIPK1;TP53BP1;EGR1;STAT5B;JUND;FZD5;ALYREF;NR1D2;PBX4;INHBA;INO80;NR1D1;SUPT5H;NFKB1;NFKB2;SMARCA4;CDK9;NFKBIA;NR4A2;NR4A1;IL6;SP1;BCL3;CAPRIN2;CREBRF;SP7;PICALM;MAP3K12;ACVRL1;CIITA;ELL;THRA;PTPRN;CITED4;ILK;IRF2BPL;MED14;UBTF;HRAS;ACTR3;DTX3L;RHOG;FOS;SIRT7;PARP9;POU5F1;TNFRSF1A;ACTA2;PLSCR1;KAT2A;MED24;CREB1;ELF2;PSRC1;IRF1;TET3;NCOA7;ZNF513;ARHGEF2;ZP3;PPARD;TRIM56;ENG;YAP1;NFAT5;SP100;ELOF1;TMF1;HDAC3;UHRF1;HDAC1;DOT1L;LRP5;NLRC5;NOD2;SERTAD3;IFI16;NFIL3;SERTAD1;SERTAD2;ERBB2;STAT6;MEF2D;CDKN2B;TAF15;STAT1;CNBP;STAT3;NR1H3;GTF2H1;RRP1B;HNRNPAB;USF2;USF1;PML;SKI;MAD2L2;ASXL1;PER1;CD4;KLF6;PSMC3;TNIP2;APEX1;NAA15;SSBP3;SSBP4
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	82/621	8.18552456916097e-10	1.721006540666094e-06	0	0	2.252594527355656	47.13212472285244	CDKN1A;SLC27A1;CIITA;CSF1;ILK;IFI35;IFI30;CXCL2;IFIT3;IFIT2;IL27RA;MT2A;TRIM5;PIM1;TRIM25;MAP3K8;JUNB;B2M;IL6R;TRIM22;IFNAR2;CISH;TNFRSF12A;GSTO1;IFNGR1;IFNGR2;TRAF2;FOS;GAB2;TNFRSF1A;HLA-E;OAS1;IRF1;OAS3;PSME1;PSME2;IFNAR1;YAP1;LAMA5;SP100;FPR1;IFI6;NOD2;SOCS3;MUC1;SOCS1;UBC;STAT4;STAT6;STX4;RIPK1;GBP2;SH2B3;CAMK2G;MCL1;STAT5A;IL32;EGR1;STAT5B;IL10RB;STAT1;TNFSF12;STAT3;TNFSF13;SOD2;PSMB8;NFKB1;PML;PSMB9;SMARCA4;NFKBIA;IL6;CD4;PSMC6;PSMC3;TNIP2;UBE2N;GRB2;TRIM38;LTBR;VIM;MAP3K14
GO_Biological_Process_2021	regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	40/224	5.674413320005931e-09	7.032737521735001e-06	0	0	3.173090111095872	60.24840961021046	RNF31;SLC35B2;NLRX1;CANT1;PPM1N;SECTM1;NOD2;AKAP13;PIDD1;CASP8;CASP10;TRIM5;TNFSF10;TRIM25;RIPK1;LGALS9;PIM2;TRIM22;TMED4;STAT1;CARD8;NEK6;SHISA5;TNFRSF10B;TRAF2;NR1D1;CFLAR;TICAM1;TNFRSF1A;PER1;CD4;EEF1D;TNIP2;UBE2N;TRIM14;RBCK1;LTBR;TRIM38;MAP3K14;CC2D1A
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	105/908	6.689881114611178e-09	7.032737521735001e-06	0	0	1.9444384058533617	36.59952193065759	CRTC2;MAML2;WWC1;SERPINE1;NRL;CREB3L4;RPS6KA1;DPF2;DPF3;JUNB;IER2;ZBTB38;LMO2;SOX12;RUNX2;HCFC1;RUNX1;SUB1;MAML3;ATF3;AKNA;AIRE;PIK3R2;HELZ2;SBNO2;UBC;RIPK1;TP53BP1;EGR1;STAT5B;JUND;FZD5;NR1D2;INHBA;INO80;NR1D1;SUPT5H;NFKB1;NFKB2;SMARCA4;CDK9;NFKBIA;NR4A2;NR4A1;IL6;SP1;CAPRIN2;CREBRF;SP7;ACVRL1;CIITA;ELL;THRA;PTPRN;CITED4;IRF2BPL;MED14;HRAS;ACTR3;FOS;SIRT7;POU5F1;TNFRSF1A;PLSCR1;KAT2A;MED24;CREB1;IRF1;TET3;NCOA7;ZNF513;ARHGEF2;PPARD;ENG;YAP1;NFAT5;TMF1;HDAC3;UHRF1;HDAC1;DOT1L;LRP5;NLRC5;NOD2;MUC1;IFI16;STAT6;MEF2D;CDKN2B;STAT1;CNBP;STAT3;NR1H3;RRP1B;USF2;USF1;SKI;ASXL1;PER1;KLF6;PSMC3;TNIP2;APEX1;SSBP3;SSBP4
GO_Biological_Process_2021	positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	33/171	1.7171831037324678e-08	1.4441509902390054e-05	0	0	3.479863597612958	62.21994555662409	RNF31;SLC35B2;CANT1;SECTM1;NOD2;AKAP13;CASP8;CASP10;TRIM5;TNFSF10;TRIM25;RIPK1;LGALS9;PIM2;TRIM22;TMED4;NEK6;SHISA5;TNFRSF10B;TRAF2;CFLAR;TICAM1;TNFRSF1A;CD4;EEF1D;TNIP2;UBE2N;TRIM14;RBCK1;LTBR;TRIM38;MAP3K14;CC2D1A
GO_Biological_Process_2021	interferon-gamma-mediated signaling pathway (GO:0060333)	19/68	4.2305596443028253e-08	2.9649172173822295e-05	0	0	5.608160098795143	95.21728513821527	CIITA;SP100;IFNGR1;STAT1;IFNGR2;IFI30;PML;HLA-E;MT2A;OAS1;TRIM5;IRF1;OAS3;TRIM25;TRIM38;GBP2;B2M;CAMK2G;TRIM22
GO_Biological_Process_2021	negative regulation of growth (GO:0045926)	26/126	1.3817938833596073e-07	8.300633256467355e-05	0	0	3.770608424336973	59.555678201205104	RB1;ACVRL1;CDKN1A;DCUN1D3;MT1M;NAIF1;ACVR1B;RTN4;DNAJB2;MT2A;STK11;SERTAD3;SERTAD2;CDKN2A;INHBA;PML;SMARCA4;MT1A;PSRC1;ADAM15;CAPRIN2;MT1F;NDUFS3;MT1B;SIPA1;MT1E
GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	68/546	2.2501068726358522e-07	0.00010644279174861546	0	0	2.0896072344445944	31.98586437948624	SLC35B2;HSP90AB1;WWC1;SECTM1;ILK;IFI35;IGF1R;RPS15;IQCJ-SCHIP1;AKAP13;CASP8;CASP10;TRIM5;DHX58;TNFSF10;TRIM25;ITGAV;PIM2;LGALS9;HRAS;TRIM22;TMED4;KSR1;GAB1;RHOG;SHISA5;TRAF2;GAB2;TICAM1;TNFRSF1A;EEF1D;TRIM14;TRIB3;RBCK1;NUPR1;ENG;RNF31;NFAT5;USP15;CANT1;HDAC3;PIK3R2;IQGAP1;NOD2;TXN;RTN4;ERBB2;THEM4;RIPK1;CD14;BID;LYN;GDF15;NEK6;TNFRSF10B;CFLAR;IL6;CD4;TNIP2;UBE2N;STRN;PLXNB1;GRB2;LAMTOR1;TRIM38;LTBR;MAP3K14;CC2D1A
GO_Biological_Process_2021	regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041)	14/42	2.278204817449558e-07	0.00010644279174861546	0	0	7.211746522411128	110.30155635688624	SP100;GPX1;FEM1B;SERPINE1;TNFRSF10B;TNFRSF10A;TRAF2;CFLAR;CASP8;TNFSF10;RIPK1;STX4;ARHGEF2;RFFL
GO_Biological_Process_2021	regulation of response to interferon-gamma (GO:0060330)	8/14	6.895672415758787e-07	0.0002754845892289707	0	0	19.165128205128205	271.8995379622423	SOCS3;HSP90AB1;SOCS1;IFNGR1;STAT1;IFNGR2;PARP9;PTPN2
